drug_id	smiles
drug_115240	C1=CC=C2C(=C1)C=C3C=CC=C4C3=C2C5=CC=CC6=C5C4=CC=C6
drug_5282365	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@H]4O)C
drug_5311053	C1[C@@H]([C@@H]([C@H]([C@@H]1O)/C=C/[C@H](COC2=CC(=CC=C2)Cl)O)C/C=C\CCCC(=O)O)O
drug_5310993	CC1=CN=C(C=[N+]1[O-])C(=O)O
drug_3025961	CC1=NC(=CC=C1)C#CC2=CC=CC=C2
drug_71364	C1CC[C@H]2[C@@H](C1)CC(N2C(=O)C3CC4=CC=CC=C4CN3C(=O)[C@H](CO)NC(=O)[C@H](CC5=CC=CS5)NC(=O)CNC(=O)C6C[C@H](CN6C(=O)C7CCCN7C(=O)C(CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)N)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O
drug_24965990	C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl
drug_9996305	C[C@H]1C(=O)N/C(=C\C2=C(NC3=CC=CC=C32)C(C)(C)C=C)/C(=O)N1
drug_7991	CCCCC(=O)O
drug_11542188	CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@H](C)[C@H](C2=CC=CC=C2)O)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC
drug_40003	COC1=CC=C(C=C1)C(C=C)O
drug_107781	C1=CC=C2C3=C4C(=CC=CC4=CC2=C1)C=C3
drug_641301	C1=CC(=CC=C1/C=C/C=O)O
drug_5282375	CCOC(=O)/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C(=C(C=C1C)OC)C)C
drug_9584673	C/C(=C\C1=CC=C(C=C1)Cl)/C(=N/O)/C
drug_128920	C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2CC[C@]3(C(C2)CCC4C3CC[C@]5([C@]4(CC[C@@H]5C(C)O)N)C)C)O)O)O
drug_5526	C1CC(CCC1CN)C(=O)O
drug_446400	C1=CC=C(C=C1)CCCCCCC(=O)N[C@@H](CCC(=O)O)CC2=CC=C(C=C2)OCC3=CC=CC=C3
drug_34507	CC(C)N(C1=CC=CC=C1)C2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O
drug_9839519	CC(C)/C=C/CCCCC(=O)OCC1=CC(=C(C=C1)O)OC
drug_6918391	CC(=C)[C@@H]1CC[C@@]([C@@H](C1)C(=C)C)(C)C=C
drug_2044	CC(C)(C)C1=C(C(=CC(=C1)C=C(C#N)C#N)Br)O
drug_107664	CCC1=C(C(C2=C1C=CC(=C2)O)C)C3=CC=C(C=C3)O
drug_3705	C1=CC2=C(C=C1S(=O)(=O)O)C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)O)O
drug_3291	CCC1(CC(=O)NC1=O)C
drug_9849616	CCC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Br
drug_6326970	[Se]
drug_45102710	C1=C2C(=CC(=C1Cl)OC(F)(F)F)N=C(N2)N3C=C(C=N3)C(=O)O
drug_65186	[O-][Te](=O)[O-].[K+].[K+]
drug_11164	C1C(O1)CO
drug_135659023	CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C6=C(C=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.CN(C)/N=N/C1=C(NC=N1)C(=O)N.[NH2-].[NH2-].Cl[Pt+2]Cl
drug_9171	C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43
drug_3062316	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
drug_184684	CN1CCC2=CC3=C(C(=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O
drug_112072	CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN
drug_2723601	C1=NC2=C(N1)C(=S)N=C(N2)N
drug_595	C(C(C(=O)O)N)SSCC(C(=O)O)N
drug_9853053	C1CN(CCC1NC(=O)C2=CC=CC=C2C3=CC=C(C=C3)C(F)(F)F)CCCCC4(C5=CC=CC=C5C6=CC=CC=C64)C(=O)NCC(F)(F)F
drug_65348	C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
drug_3033818	C1[C@@H]2CC(C[C@H]3N2CC(=O)C1C3)OC(=O)C4=CNC5=CC=CC=C54
drug_5281222	C1=CC(=C(C=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O)O
drug_443943	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CCl)C)O)F
drug_9306	CC(CC1=CC=CC=C1)NC.Cl
drug_9890888	CC(C)C[C@@H](C(=O)OC)NC(=O)C1=C(C=C(C=C1)NCC2=CN=CN2)C3=CC=CC4=CC=CC=C43
drug_91826470	CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O.CS(=O)(=O)O
drug_65888	CCOCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(C)(C)O
drug_1183	COC1=C(C=CC(=C1)C=O)O
drug_56962336	CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC4=C(N=CN=C43)N)O)O
drug_22895896	CCCOC(C)COCCO
drug_170209	CC(=O)O[C@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
drug_5353	COC1=C(C=CC(=C1)S(=O)C)C2=NC3=C(N2)C=CC=N3
drug_29109	[S-2]
drug_3672	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
drug_16960	CN(C)CC[C@@H](C1=CC=C(C=C1)Br)C2=CC=CC=N2
drug_5355469	COC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2OC)OC)O
drug_1287	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
drug_123909	CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
drug_4536	CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
drug_10459564	CCOC1=C(C(=C2C(=C1)CN(C2=N)CC(=O)C3=CC(=C(C(=C3)N4CCOCC4)OC)C(C)(C)C)F)OCC
drug_5352089	CC(=CCC/C(=C/CCC(C)(C=C)C1=CC(=C(C=C1)O)O)/C)C
drug_64139	C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
drug_77095	CN1C2=CC=CC=C2C=C1C3=CC=CC=C3
drug_108168	C1OC2=C(O1)C3=C(C(=C2)C(=O)O)C(=CC4=CC=CC=C43)[N+](=O)[O-]
drug_122165	CCCNC(=O)[C@@H]1C(O1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N2CCC[C@H]2C(=O)O
drug_6247	CC(=O)OC1=CC=CC=C1C(=O)[O-].CC(=O)OC1=CC=CC=C1C(=O)[O-].[Ca+2]
drug_16322	C1=CC=C(C=C1)C2=CC(=CC=C2)Cl
drug_208900	CN(C(=O)N[C@H]1[C@@H]([C@H]([C@H](CO1)O)O)O)N=O
drug_2123	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
drug_5364174	C/C(=C\C(=O)O)/CCC1C(=C)CCC2C1(CCCC2(C)C(=O)O)C
drug_5311130	CC1=C(C=CC(=C1)C(=O)NC2=CC(=C(C=C2)OC)N3CCN(CC3)C)C4=CC=NC=C4
drug_3553	CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C
drug_5281426	C1=CC(=CC2=C1C=CC(=O)O2)O
drug_6327657	C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3.O
drug_11855	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl
drug_687331	C1=COC(=C1)/C=C/[N+](=O)[O-]
drug_3499	CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
drug_16132173	CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CNC2=CC=CC=C21)N)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCC(=O)OC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H](CCC(=O)OC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CC5=CNC=N5)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC6=CC=C(C=C6)O)N)NC(=O)[C@H](CCCCN)N
drug_3387354	C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C1O2)C7=C53)C(=O)NC6=O
drug_7500	CCC1=CC=CC=C1
drug_5319925	CC(=CCC1=C(OC2=CC3=C(C=CC(O3)(C)C)C(=C2C1=O)O)C4=C(C=C(C=C4)O)O)C
drug_122316	C#CCNC1CCC2=CC=CC=C12
drug_122720	CC1=CC2=C(C(=C1)O)C(=O)C=C(C2=O)C3=C(C4=C(C=C3C)C(=O)C5C(C4=O)O5)O
drug_181105	C[C@H]1CCCC2=C1C(=C3C(=COC3=C2O)C)C
drug_151723	C[Hg+].C([C@@H](C(=O)[O-])N)S
drug_46890395	C1CN(CCN1)C(CC2=CC=CC=C2OC(F)F)C3=CC=CC=C3
drug_114920	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4O)C)O
drug_445643	C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC
drug_7410	CC(=O)C1=CC=CC=C1
drug_24121	C1=CC=C2C(=C1)C=CC3=C2C=C(C4=CC=CC=C34)[N+](=O)[O-]
drug_9913767	CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3
drug_2733526	CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
drug_16129617	CC(C)[C@@H](C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N3CCC[C@H]3C(=O)O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC7=CC=CC=C7)NC(=O)[C@H](CC8=CNC=N8)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](CC9=CC=C(C=C9)O)NC(=O)C(CO)N
drug_442972	C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1
drug_1893668	CCN\1C2=C(C=CC(=C2)OC)S/C1=C\C(=O)C
drug_16683012	C([C@H]([C@@H]1[C@@H]([C@@H](O[Sb](=O)(O1)O[Sb]2(=O)O[C@@H]([C@@H]([C@@H](O2)C(=O)[O-])O)[C@@H](CO)O)C(=O)[O-])O)O)O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[Na+]
drug_6194	C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl
drug_176874	C(CCCC(=O)NCCO)CCCC(=O)NCCO
drug_3308	CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
drug_124692	CC1C(C(CC(O1)C2=C(C3=C(C=C2)C(=O)C4=C(C3=O)C(OC5C4OC(=O)C5)C)O)N(C)C)O
drug_49803313	CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)OC)NC5CCOCC5
drug_131536	CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N
drug_160142	CC(C)C1=CC2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O
drug_8027	C1=CNC=C1
drug_122162	CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3
drug_171279	CCCCCCCCCCCCCCCCC(C)CC(C)CC(C)CC(C)CC(C)CC(C)CC(C)C(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C(C)CC(C)CC(C)CC(C)CC(C)CC(C)CC(C)CC(C)C(CCCCCCCCCCCCCCC)O)O)[O-])OS(=O)(=O)O)OC(=O)CCCCCCCCCCCCCCC)O)OC(=O)C(C)CC(C)CC(C)CC(C)CC(C)CC(C)CC(C)CC(C)C(CCCCCCCCCCCCCCC)O.[NH4+]
drug_18140	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl
drug_31477	CC1=CC(=C(C(=C1OC(=O)C)C)C)OCC(CNC(C)C)O
drug_5267	CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
drug_129	CC(C)CCC=O
drug_6091659	COC1=CC(=CC(=C1O)CSC2=NC3=CC=CC=C3S2)/C=C(\C#N)/C(=O)N
drug_71360	CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC
drug_11714580	CC(C)(C)C1=NN(C(=C1)NC(=O)NCC2=CC=CC=C2SC3=CN4C(=NN=C4C5=CC=CC=C5SCCO)C=C3)C6=CC(=C(C=C6)O)Cl
drug_43216	CCCC1=CC=CC=C1OCC(CNC(C)C)O
drug_6197	C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C
drug_4039	CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl
drug_24412	[O-]S(=O)(=O)OOS(=O)(=O)[O-].[K+].[K+]
drug_6716	CC1=CC(=O)C2=C(O1)C=C3C(=C2OC)C=CO3
drug_707035	C1=CC=C2C(=C1)NC(=S)N2
drug_54897	CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl
drug_639288	COC1=CC2=C(C=C1)C3=C(C[C@H]4CCCN4C3)C5=CC(=C(C=C52)OC)OC
drug_44205240	CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
drug_2578	C(CCl)NC(=O)N(CCCl)N=O
drug_441667	C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O
drug_1805	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
drug_9317	CC(=O)[O-].CC(=O)[O-].[Pb+2]
drug_97598	C1C2=CC=CC=C2C3=C1C4=CC=CC=C4N3
drug_13542	CCCCN(CCCC)N=O
drug_216237	CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C
drug_67545	C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
drug_5104	C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O
drug_3549	CCOC(=O)C1=C(OC2=C(C1C(C#N)C(=O)OCC)C=C(C=C2)Br)N
drug_135398618	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N=C(NC2=O)N
drug_471	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
drug_5281	CCCCCCCCCCCCCCCCCC(=O)O
drug_171175	CN1CCC2(C1NC3=CC=CC=C32)C4=C5C(=CC=C4)C6(CCN(C6N5)C)C7=C8C(=CC=C7)C9(CCN(C9N8)C)C12CCN(C1NC1=C(C=CC=C21)C12CCN(C1NC1=CC=CC=C21)C)C
drug_125181260	C1=CC=C(C=C1)C[C@@H](C(=O)N)NC(=O)C2=CN(C3=CC=CC=C32)CCCCCF
drug_90241673	C1CN(CC2=CC=CC=C21)C[C@H](CNC(=O)C3=CC(=NC=N3)NC4COC4)O
drug_223	[NH4+]
drug_6918774	C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O
drug_6436143	CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3C(C([C@H](O3)CO)OP(=O)([O-])OC(C)CNC(=O)CC[C@@]\4([C@H](C5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1[C@@H]([C@@H]([C@H](O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co+3]
drug_57501499	CCCC(C(=O)C1=CC=CC=C1)NC
drug_10229	C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)O
drug_1930	CCCCCCCCC=CCCCCCCCC(=O)N
drug_16129674	CC(C)[C@@H](C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N3CCC[C@H]3C(=O)O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC7=CC=CC=C7)NC(=O)[C@H](CC8=CN=CN8)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](CC9=CC=C(C=C9)O)NC(=O)C(CO)N
drug_126592	C1C(O[C@@H](O1)CO)N2C=CC(=NC2=O)N
drug_14973220	C1=CC2=C(C=CN2)C=C1C(=O)N
drug_443629	C1[C@@H]([C@H]([C@@H]([C@H]([C@H]1N[C@H]2C=C([C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)CO
drug_19851629	C1=CC=C(C=C1)C(=O)N(C2=CC=CC=C2)C(=O)N
drug_46199207	CC(C)N1C=NC2=C(N=C(N=C21)C3=CSC4=CC=CC=C43)NCCC5=CC=C(C=C5)O
drug_11199650	C1=CC(=[O+]C2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O
drug_50990924	CC(=O)NC1=NC2=C(S1)C=C(C=C2)C3=CC(=C(N=C3)Cl)NS(=O)(=O)C4=CC=C(C=C4)F
drug_3032604	CCN(CC)C(=O)/C(=C(\C)/OP(=O)(OC)OC)/Cl
drug_10824	COC1=CC=CC(=C1)N
drug_4875	[K+].[I-]
drug_84716	CCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Br-]
drug_4292	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)NCCC4=CC=CC=C4
drug_5709	CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C
drug_18781	CC1=CC2=C(C=C1)C=CC3=C2C=CC4=CC=CC=C43
drug_24721032	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O.O.O.O
drug_66828839	CC1(CC1)S(=O)(=O)NC(=O)[C@]2(C[C@H]2C(F)F)NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@@H](NC(=O)O[C@@H]5CCC[C@H]5OC/C=C/C(C6=NC7=CC=CC=C7N=C6O4)(F)F)C(C)(C)C
drug_74190	CCOP(=O)(O)O
drug_3463	CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
drug_148177	CCCCCCCCCCCCCCCCCCOP(=O)([O-])OC1CC[N+](CC1)(C)C
drug_5360515	C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O
drug_9955116	C[N+](C)(CCNC1=C2C(=C(C=C1)NCC[N+](C)(C)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)O)[O-]
drug_11136	C1=CC(=CC=C1S(=O)(=O)O)[Hg]Cl
drug_70231239	CO[C@]1(C[C@H]([C@H]([C@@H](C1)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O)C(=O)O
drug_11647372	C1COCCN1C2=NC(=NC(=N2)N3C4=CC=CC=C4N=C3C(F)F)N5CCOCC5
drug_221071	C[C@H]1[C@@H]2CC[C@]3(C=CC(=O)C(=C3[C@H]2OC1=O)C)C
drug_107650	CCSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N
drug_9837232	CC(CC1=CC2=C(C=C1)OC=C2)N
drug_2909	CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
drug_269722	COC1=CC=C(C=C1)N2CCNCC2
drug_45268455	CN([C@@H]1CCC2=C(C3=CC=CC=C3N2C1)CC(=O)O)S(=O)(=O)C4=CC=C(C=C4)F
drug_5280442	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
drug_11707110	CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5
drug_25246315	CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@@H](C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C
